trial number,crosshair (start time - ms),crosshair (duration - ms),icon (filename),display icon (start time - ms),display (duration - ms),wait before (start time - ms),wait before (duration - ms),ready (start time - ms),ready (duration - ms),wait after (start time - ms),wait after (duration - ms),reproduce display (start time - ms),max reproduce display (duration - ms),perfect reproduce time (game time - ms),key down (start time - ms),too late (yes - no),difference time (duration - ms),percent error (fraction),icon category (w - l - n),icon amount (dollars),monetary outcome (dollars),payment display (start time - ms),payment display (duration - ms),running total (dollars)
1, 16790, 1542, 'icon25.jpg', 18332, 3000.0, 21335, 487, 21824, 1000, 22831, 480, 23313, 6000.0, 26313.0, 26480, 'No', 167.0, 0.05566666666666667, 'Win', 3, 2.833, 26480, 484, 2.833
2, 26969, 1462, 'icon18.jpg', 28433, 3000.0, 31434, 502, 31940, 1000, 32944, 493, 33438, 6000.0, 36438.0, 35607, 'No', -831.0, 0.277, 'Loss', -3, -0.831, 35605, 504, 2.0020000000000002
3, 36115, 1481, 'icon55.jpg', 37596, 1000.0, 38600, 526, 39127, 1000, 40129, 528, 40659, 2000.0, 41659.0, 41244, 'No', -415.0, 0.415, 'Win', 3, 1.755, 41243, 487, 3.757
4, 41735, 1472, 'icon55.jpg', 43210, 1000.0, 44211, 478, 44692, 1000, 45694, 515, 46212, 2000.0, 47212.0, 46882, 'No', -330.0, 0.33, 'Win', 3, 2.0100000000000002, 46882, 469, 5.767
5, 47359, 1556, 'icon55.jpg', 48918, 1000.0, 49920, 526, 50447, 1000, 51452, 490, 51945, 2000.0, 52945.0, 52828, 'No', -117.0, 0.117, 'Win', 3, 2.649, 52827, 487, 8.416
6, 53323, 1454, 'icon45.jpg', 54778, 5000.0, 59779, 489, 60273, 1000, 61275, 504, 61781, 10000.0, 66781.0, 66618, 'No', -163.0, 0.0326, 'Win', 3, 2.9022, 66616, 495, 11.318200000000001
7, 67118, 1511, 'icon07.jpg', 68629, 1000.0, 69633, 504, 70139, 1000, 71142, 479, 71623, 2000.0, 72623.0, 72257, 'No', -366.0, 0.366, 'Loss', -3, -1.0979999999999999, 72257, 477, 10.220200000000002
8, 72741, 1574, 'icon18.jpg', 74315, 3000.0, 77317, 504, 77824, 1000, 78827, 503, 79331, 6000.0, 82331.0, 81896, 'No', -435.0, 0.145, 'Loss', -3, -0.43500000000000005, 81896, 480, 9.785200000000001
9, 82383, 1508, 'icon53.jpg', 83893, 5000.0, 88894, 525, 89420, 1000, 90422, 503, 90926, 10000.0, 95926.0, 96047, 'No', 121.0, 0.0242, 'Loss', -3, -0.0726, 96046, 505, 9.712600000000002
10, 96557, 1492, 'icon25.jpg', 98052, 3000.0, 101055, 506, 101562, 1000, 102566, 493, 103062, 6000.0, 106062.0, 105992, 'No', -70.0, 0.023333333333333334, 'Win', 3, 2.93, 105991, 480, 12.642600000000002
11, 106478, 1557, 'icon33.jpg', 108036, 5000.0, 113039, 487, 113527, 1000, 114530, 524, 115056, 10000.0, 120056.0, 119934, 'No', -122.0, 0.0244, 'Neutral', 0, 0, 119931, 513, 12.642600000000002
12, 119937, 1511, 'icon25.jpg', 121450, 3000.0, 124452, 483, 124937, 1000, 125938, 491, 126432, 6000.0, 129432.0, 128853, 'No', -579.0, 0.193, 'Win', 3, 2.4210000000000003, 128852, 512, 15.063600000000001
13, 129369, 1482, 'icon07.jpg', 130853, 1000.0, 131854, 495, 132351, 1000, 133352, 490, 133847, 2000.0, 134847.0, 134546, 'No', -301.0, 0.301, 'Loss', -3, -0.903, 134544, 505, 14.1606
14, 135056, 1504, 'icon18.jpg', 136561, 3000.0, 139564, 490, 140058, 1000, 141060, 461, 141525, 6000.0, 144525.0, 144031, 'No', -494.0, 0.16466666666666666, 'Loss', -3, -0.4939999999999998, 144030, 479, 13.6666
15, 144515, 1504, 'icon45.jpg', 146021, 5000.0, 151025, 465, 151496, 1000, 152499, 484, 152986, 10000.0, 157986.0, 158025, 'No', 39.0, 0.0078, 'Win', 3, 2.9766, 158023, 493, 16.6432
16, 158521, 1494, 'icon33.jpg', 160017, 5000.0, 165019, 491, 165511, 1000, 166515, 457, 166977, 10000.0, 171977.0, 171864, 'No', -113.0, 0.0226, 'Neutral', 0, 0, 171863, 486, 16.6432
17, 171867, 1506, 'icon14.jpg', 173373, 1000.0, 174375, 528, 174904, 1000, 175907, 467, 176377, 2000.0, 177377.0, 177300, 'No', -77.0, 0.077, 'Neutral', 0, 0, 177299, 507, 16.6432
18, 177304, 1511, 'icon45.jpg', 178815, 5000.0, 183817, 508, 184327, 1000, 185329, 539, 185873, 10000.0, 190873.0, 190576, 'No', -297.0, 0.0594, 'Win', 3, 2.8218, 190576, 493, 19.465
19, 191076, 1473, 'icon45.jpg', 192550, 5000.0, 197551, 466, 198021, 1000, 199024, 457, 199484, 10000.0, 204484.0, 204519, 'No', 35.0, 0.007, 'Win', 3, 2.979, 204517, 468, 22.444
20, 204992, 1452, 'icon35.jpg', 206447, 3000.0, 209450, 521, 209975, 1000, 210978, 538, 211520, 6000.0, 214520.0, 214006, 'No', -514.0, 0.17133333333333334, 'Neutral', 0, 0, 214004, 493, 22.444
21, 214010, 1511, 'icon35.jpg', 215522, 3000.0, 218523, 524, 219051, 1000, 220055, 525, 220582, 6000.0, 223582.0, 223230, 'No', -352.0, 0.11733333333333333, 'Neutral', 0, 0, 223229, 524, 22.444
22, 223235, 1526, 'icon33.jpg', 224764, 5000.0, 229770, 486, 230259, 1000, 231263, 503, 231770, 10000.0, 236770.0, 236869, 'No', 99.0, 0.0198, 'Neutral', 0, 0, 236867, 528, 22.444
23, 236873, 1574, 'icon07.jpg', 238450, 1000.0, 239453, 528, 239986, 1000, 240988, 525, 241514, 2000.0, 242514.0, 242509, 'No', -5.0, 0.005, 'Loss', -3, -0.015000000000000124, 242508, 526, 22.429
24, 243040, 1473, 'icon35.jpg', 244515, 3000.0, 247518, 519, 248039, 1000, 249042, 493, 249536, 6000.0, 252536.0, 252352, 'No', -184.0, 0.06133333333333333, 'Neutral', 0, 0, 252351, 487, 22.429
25, 252356, 1492, 'icon07.jpg', 253852, 1000.0, 254856, 506, 255365, 1000, 256367, 515, 256884, 2000.0, 257884.0, 257582, 'No', -302.0, 0.302, 'Loss', -3, -0.9060000000000001, 257580, 493, 21.523
26, 258081, 1462, 'icon07.jpg', 259543, 1000.0, 260545, 505, 261052, 1000, 262054, 521, 262579, 2000.0, 263579.0, 263015, 'No', -564.0, 0.564, 'Loss', -3, -1.692, 263013, 495, 19.831
27, 263517, 1574, 'icon35.jpg', 265093, 3000.0, 268094, 512, 268609, 1000, 269612, 505, 270120, 6000.0, 273120.0, 273115, 'No', -5.0, 0.0016666666666666668, 'Neutral', 0, 0, 273113, 525, 19.831
28, 273118, 1428, 'icon55.jpg', 274549, 1000.0, 275552, 478, 276033, 1000, 277036, 492, 277532, 2000.0, 278532.0, 278238, 'No', -294.0, 0.294, 'Win', 3, 2.118, 278237, 515, 21.948999999999998
29, 278756, 1526, 'icon53.jpg', 280284, 5000.0, 285288, 491, 285781, 1000, 286783, 466, 287252, 10000.0, 292252.0, 291825, 'No', -427.0, 0.0854, 'Loss', -3, -0.2562000000000002, 291824, 538, 21.6928
30, 292367, 1518, 'icon33.jpg', 293887, 5000.0, 298889, 523, 299413, 1000, 300415, 519, 300937, 10000.0, 305937.0, 305975, 'No', 38.0, 0.0076, 'Neutral', 0, 0, 305973, 487, 21.6928
31, 305979, 1481, 'icon55.jpg', 307462, 1000.0, 308463, 483, 308947, 1000, 309951, 528, 310482, 2000.0, 311482.0, 311200, 'No', -282.0, 0.282, 'Win', 3, 2.154, 311199, 528, 23.846799999999998
32, 311733, 1492, 'icon33.jpg', 313225, 5000.0, 318228, 478, 318710, 1000, 319713, 496, 320212, 10000.0, 325212.0, 324992, 'No', -220.0, 0.044, 'Neutral', 0, 0, 324990, 457, 23.846799999999998
