trial number,crosshair (start time - ms),crosshair (duration - ms),icon (filename),display icon (start time - ms),display (duration - ms),wait before (start time - ms),wait before (duration - ms),ready (start time - ms),ready (duration - ms),wait after (start time - ms),wait after (duration - ms),reproduce display (start time - ms),max reproduce display (duration - ms),perfect reproduce time (game time - ms),key down (start time - ms),too late (yes - no),difference time (duration - ms),percent error (fraction),icon category (w - l - n),icon amount (dollars),monetary outcome (dollars),payment display (start time - ms),payment display (duration - ms),running total (dollars)
1, 16141, 1511, 'icon54.jpg', 17654, 5000.0, 22655, 463, 23120, 1000, 24124, 463, 24589, 10000.0, 29589.0, 31168, 'No', 1579.0, 0.3158, 'Neutral', 0, 0, 31167, 493, 0
2, 31172, 1522, 'icon06.jpg', 32694, 1000.0, 33695, 487, 34185, 1000, 35188, 446, 35638, 2000.0, 36638.0, 36502, 'No', -136.0, 0.136, 'Win', 3, 2.592, 36499, 518, 2.592
3, 37023, 1469, 'icon09.jpg', 38495, 1000.0, 39499, 471, 39971, 1000, 40973, 515, 41491, 2000.0, 42491.0, 42295, 'No', -196.0, 0.196, 'Loss', -3, -0.5880000000000001, 42294, 517, 2.004
4, 42819, 1470, 'icon53.jpg', 44291, 3000.0, 47295, 518, 47816, 1000, 48820, 517, 49339, 6000.0, 52339.0, 52754, 'No', 415.0, 0.13833333333333334, 'Neutral', 0, 0, 52753, 446, 2.004
5, 52758, 1585, 'icon06.jpg', 54343, 1000.0, 55347, 503, 55853, 1000, 56856, 515, 57373, 2000.0, 58373.0, 57673, 'No', -700.0, 0.7, 'Win', 3, 0.8999999999999999, 57672, 505, 2.904
6, 58182, 1469, 'icon19.jpg', 59654, 3000.0, 62657, 501, 63163, 1000, 64165, 524, 64691, 6000.0, 67691.0, 67466, 'No', -225.0, 0.075, 'Win', 3, 2.7750000000000004, 67466, 498, 5.679
7, 67969, 1478, 'icon54.jpg', 69448, 5000.0, 74452, 516, 74970, 1000, 75974, 503, 76480, 10000.0, 81480.0, 80795, 'No', -685.0, 0.137, 'Neutral', 0, 0, 80793, 455, 5.679
8, 80798, 1585, 'icon13.jpg', 82384, 5000.0, 87386, 501, 87889, 1000, 88892, 546, 89443, 10000.0, 94443.0, 92430, 'No', -2013.0, 0.4026, 'Win', 3, 1.7922000000000002, 92429, 525, 7.4712000000000005
9, 92961, 1521, 'icon09.jpg', 94482, 1000.0, 95486, 493, 95981, 1000, 96982, 463, 97449, 2000.0, 98449.0, 98019, 'No', -430.0, 0.43, 'Loss', -3, -1.29, 98019, 546, 6.1812000000000005
10, 98569, 1420, 'icon54.jpg', 99992, 5000.0, 104994, 541, 105536, 1000, 106539, 514, 107056, 10000.0, 112056.0, 110578, 'No', -1478.0, 0.2956, 'Neutral', 0, 0, 110577, 522, 6.1812000000000005
11, 110582, 1522, 'icon36.jpg', 112109, 3000.0, 115112, 569, 115683, 1000, 116685, 541, 117228, 6000.0, 120228.0, 118830, 'No', -1398.0, 0.466, 'Loss', -3, -1.398, 118829, 455, 4.783200000000001
12, 119291, 1539, 'icon05.jpg', 120830, 1000.0, 121832, 518, 122352, 1000, 123358, 482, 123841, 2000.0, 124841.0, 124267, 'No', -574.0, 0.574, 'Neutral', 0, 0, 124265, 525, 4.783200000000001
13, 124271, 1469, 'icon13.jpg', 125742, 5000.0, 130744, 495, 131240, 1000, 132241, 479, 132725, 10000.0, 137725.0, 136108, 'No', -1617.0, 0.3234, 'Win', 3, 2.0298, 136107, 491, 6.813000000000001
14, 136602, 1533, 'icon53.jpg', 138136, 3000.0, 141138, 446, 141586, 1000, 142588, 501, 143090, 6000.0, 146090.0, 145027, 'No', -1063.0, 0.35433333333333333, 'Neutral', 0, 0, 145025, 476, 6.813000000000001
